word,count,initial,num
i,1548,i,9
yea / yeah / yeh,1151,y,25
you / u,997,y,25
it / its,619,i,9
me,590,m,13
the,590,t,20
my,465,m,13
we,446,w,23
like,378,l,12
on,362,o,15
know / knew / knows / known,357,k,11
up,318,u,21
to,304,t,20
get / gettin' / got,300,g,7
don't,288,d,4
babe / baby / bebe,281,b,2
ya / yah,256,y,25
ay / ayy / aye / ayye,248,a,1
just,239,j,10
oh,239,o,15
no,229,n,14
eh / ey,227,e,5
go / goes / going / gone,227,g,7
love / loved / lover / loving,223,l,12
in,222,i,9
da,210,d,4
that,206,t,20
your / yours,200,y,25
let / lemme / let's,194,l,12
ok / okay / okey,177,o,15
now,165,n,14
wit' / with,164,w,23
wanna,161,w,23
so,160,s,19
em / emm,153,e,5
gang(s),153,g,7
la,152,l,12
what,148,w,23
ooh / oooh / oops,147,o,15
gucci,138,g,7
turn / turns / turned / turning,135,t,20
make / made / making,129,m,13
one,129,o,15
this,129,t,20
down,124,d,4
girl(s),123,g,7
but,122,b,2
night,122,n,14
water,122,w,23
uh,118,u,21
good,102,g,7
need(s),101,n,14
money,100,m,13
want / wanted,100,w,23
fake(s),99,f,6
drown / drowning,98,d,4
can,96,c,3
time / timing,96,t,20
band(s),93,b,2
right,93,r,18
woo,90,w,23
work / workin',89,w,23
day(s),87,d,4
back,86,b,2
way(s),86,w,23
bitch(es),85,b,2
out,85,o,15
drip / dripin',82,d,4
whoa / whoo,80,w,23
huh,78,h,8
home / homebody / homie(s),76,h,8
when,75,w,23
live / livin',74,l,12
life / life's / lifestyle,73,l,12
drink / drinkin' / drunk / drunken,72,d,4
dance / dancing,71,d,4
talk / talking / talkin',70,t,20
move / moving,69,m,13
more,68,m,13
rollie(s),68,r,18
say / said / saying / says,68,s,19
take / takes / takin',66,t,20
gon / gonna,64,g,7
who,64,w,23
na / nah,63,n,14
party,63,p,16
yo,63,y,25
blur / blurry,62,b,2
see / saw,60,s,19
shit,59,s,19
they,59,t,20
ah / aah,56,a,1
yuh / yup,53,y,25
bad / baddest,52,b,2
call(s) / callin' / calling,52,c,3
hit,52,h,8
look / looked / looking,52,l,12
too,52,t,20
why,52,w,23
off,51,o,15